 374.4  33.1  0.44 314.9  39.4  0.10 452.1  27.4  .046
  503.  52.0  0.35  505.  29.9   .35 1748.  7.09  .013
    7    4 77.5   471.   .743  3.218 -5.396  2.536    4
 765.1  16.2  0.57 1490.  8.35  0.57 335.1  48.4  0.31
 283.5  47.4  0.31  260.  63.8  .064 387.0  43.7  0.31
 247.2  50.1  0.31  197.  62.8  .064
  923.  13.4  1.00 1718.  15.1  1.00
    7    5 97.9   494.   .166  3.773 -5.542  2.530    3
1240.1  9.97  .234 209.3  55.4  .235 162.6  71.2  .067
 147.3  84.3  .029 247.7  56.1  .235 186.1  71.6  .067
 266.3  52.7  .235 190.2  75.2  .067
    7    6 552.    0.0 -0.008   .619  -.341   .068    3
 28.79  431.  .674 29.53  420.  .674 29.08  426.  .674
 24.90  497.  .144 23.77  522.  .144 1908.  426.  .000
 174.0  496.  .144 185.1  496.  .144 29.00  426.  .674
    7    7 667.    0.0 -.0016  .1752 -.0359 -.0106    2
 24.78  500.  .416 20.91  593.  .079 19.83  625.  .029
 19.36  640.  .027 133.9  593.  .079
    8    1 13.6   533. 88.063-354.67 517.42-249.37    2
                  1026.6  12.1  .010 811.4  15.3  .008
989.46  12.5  .093 1304.  9.50  .031
    8    2 35.1   550.  4.153 46.500-75.302 32.005    2
 833.8  14.9  0.19 481.7  31.0  0.08 616.6  24.0  0.02
 539.4  23.0  0.11 430.1  28.8  1.20 408.0  30.3
    8    3 54.9   570.   .001  7.340 -3.686  -.006    3
 834.5  14.9  0.11 507.9  24.4  0.18 703.4  17.6  0.14
 305.7  40.5  0.57 374.1  40.8  .081 1662.  7.46 .0052
 381.   56.9   .35  357.  64.4  0.35  225.  44.4   .35
    8    4 77.4   595.  0.000  1.051   .225  -.007    3
 789.4  15.6  .097 609.4  20.2  0.10 554.4  22.4  0.38
 238.5  51.9  0.50 196.0  63.3  .115 279.8  44.3  .050
  311.  71.5  0.35  445.  60.0  .35  1402.  8.84  .011
    8    5 114.   645.   .397  2.602 -4.299  2.135    4
 629.7  19.7  0.49 1218.  10.2  0.49 220.4  75.9  0.38
 192.9  74.4  0.38 170.2  92.5  .089 248.5  69.6  0.38
 172.2  71.9  0.38 135.8  91.5  .089 22.86  541..00012
  760.  16.3  1.00 1371.  18.5  1.00
    8    6 138.   671.   .121   .956 -1.309   .579    3
1033.8  12.0  .196 150.1  82.4  0.26 115.8  106.  .072
 104.8  118.  .030 173.0  72.8  0.26 129.8  100.  .030
 184.1  74.1  0.26 132.5  106.  .030 22.03  562. .0007
    8    7 739.    0.0  -.006   .446  -.242   .051    3
 21.60  574.  .694 22.10  561.  .694 21.80  569.  .694
 18.63  666.  .146 17.76  714.  .135 1630.  569.  .000
 128.5  666.  .146 135.8  666.  .146 21.70  574.  .694
    8    8 871.    0.0 -.0012  .1342 -.0274 -.0082    2
 18.97 653.6  .416 16.01  774.  .079 15.18  817.  .029
 14.81  837.  .027 102.5  774.  .079
   10    1 21.6   878. 59.952 268.69 -957.1 677.36    1
 743.7  16.7  .012 735.9  16.8  .162
   10    2 41.1   896. 48.767 -181.2 281.37 -144.9    2
 461.3  26.9  0.06 356.6  34.8  0.01 355.1  34.9  0.01
 355.9  34.8       456.0  27.2  .095
   10    3 63.5   916.  4.100 -2.336   .109  -.079    2
 489.5  25.3  0.20 251.0  49.5  0.31 227.6  54.6  0.12
 275.0  45.2  .091 313.4  39.7  .040
   10    4 97.0   940.  -.003  6.122 -3.031   .045    3
 542.8  22.8  0.22 216.6  63.5  0.10 196.0  63.5  0.03
 208.6  59.4  .095 180.0  69.0  1.20 247.8  64.9  0.60
                   208.6  74.3  0.35
   10    5 126.   968.   .002  2.056  -.647   .007    3
 571.0  21.8  .098 358.9  34.6  0.14 482.2  25.7  0.13
 143.3  89.5  0.81 173.9  71.5  .065 1146.  10.8 .0093
 314.   74.0   .35  162.  121.  0.35 118.6  125.   .35
   10    6 158.  1000.   0.00   .562 -0.063 -0.011    3
 561.4  22.2  .079 434.8  27.9  0.03 401.7  30.9  0.25
 122.6  101.  0.54 96.66 128.0  .122 138.6  89.5  .029
121.14  115.   .35  152.  104.   .50 1006.  12.3 .0140
   10    7 207.  1074.   .210  1.221 -1.716   .743    3
 465.2  26.6  0.37 895.2  13.9  0.37 116.7  133.  0.46
 106.2  117.  0.46 82.27  164.  0.12 115.5  121.  0.46
 97.54  126.  0.46 75.77  164.  0.12
   10    8 239.  1108.   .070   .496  -.604   .239    3
 773.7  16.0  0.16 88.13  141.  0.30  70.0  177.  .077
 60.81  204.  .033 98.31  142.  0.30  73.6  187.  .077
 103.1  136.  0.30  74.7  182.  .077
   10    9 1196    0.0   .084  -.326  1.020  -.633    3
 13.46  922.  .723 13.70  904.  .723 13.56  914.  .723
 11.56 1072.  .149 11.00 1126.  .138 1326.  914.  .000
 78.36 1070.  .149 82.01 1072.  .149 13.50  922.  .723
   10   10 1360    0.0 -.0008 .08586 -.0176 -.0052    2
 12.13 1022.  .416 10.24 1211.  .079 9.708 1277.  .029
 9.481 1308.  .027 65.58 1211.  .079
   12    1 7.65   54.0   .000   .000   .000   1.20    4
2852.1  4.35  1.81 2026.  6.11  0.22 5178.  5.11  0.07
12083.  6.78  0.05 5528.  6.59  0.10
                                     8807.  5.74  1.81
 4587.  2.70 .0055
   12    2 15.0   65.0 8.2948 -27.00 34.965 -15.09    4
2797.9  4.43  0.94 1240.  10.0 .0002 2934.  8.65 .0002
 1735.  11.6 .0002 4481.  11.6 .0002 1026.  12.1  .001
 1750.  12.2  .001 3110.  12.8  .001
                                    2795.5  8.85  0.94
   12    3 80.1  1360.  2.003 51.757-78.545 31.597    3
 234.3  52.9  .011 231.7  53.4  0.21 188.5  65.8  .004
 187.2  66.0  0.16 186.5  66.3  0.27 183.0  66.7  .041
 182.0  67.1  0.30 165.0  75.0  0.15
   12    4 109.  1380.  1.263 18.612 -16.82  .5356    2
 321.8  38.6  0.10 147.1  84.3  0.14 146.6  84.6  0.05
 147.7  84.0       183.2  67.6  .095
   12    5 141.  1410. -3.636 32.966 -47.41 21.272    3
 353.2  34.0  0.21 121.7  102.  0.65 114.0 109.  0.16
 132.5  90.2  .103 146.1  85.0  .045 113.4  143.   .35
 97.61  127.  0.35  98.3  126.  0.40
   12    6 187.  1440.   .000   1.45   .000   .000    2
 401.8  30.0  0.22
 111.6  111.  .098 95.48  130.  1.20
   12    7 225.  1470.   .000   .714   .000   .000    4
 433.0  28.7  .089 277.7  44.6  0.12 366.4  33.8  0.11
 84.02  148.  0.87  98.3  130.  .049 864.0  14.0 .0095
 82.58  150.   .35 79.05  157.  0.35 63.40  195.   .35
  61.0  203.  1.40
   12    8 266.  1520.   .000   .254   .000   .000    3
 434.6  28.6  .067 337.8  36.7  .045 314.6  39.4  0.21
 74.98  165.  0.60  52.7  236.  .125 82.75  150.  .024
  75.0  193.   .35  88.5  171.   .35  755.  16.4  .013
   12    9 328.  1612. .11702 .76297 -1.004  .4201    3
 368.1  33.8  0.30 704.5  17.6  0.30 72.31  201.  0.51
 67.20  214.  0.51 55.06  257.  0.15 77.74  189.  0.51
 62.75  196.  0.51  48.3  257.  0.15  9.38  1320 .0020
   12   10 367.  1654.  .0397  .3570 -.4516  .1917    3
 614.9  20.2  .125 57.89  214.  .316 44.05  281.  .085
 39.67  290.  .035 63.25  215.  .316 47.28  283.  .085
 65.79  208.  .035                    9.29  1334 .0053
   12   11 1762    0.0 .00187  .1604 -.0695 .00921    3
 9.168 1352.  .745  9.32 1330.  .745  9.23 1340.  .745
  7.85 1580.  .152  7.47 1660.  .139  956. 1340.  .000
  52.8 1580.  .152  54.6 1580.  .152  9.20 1352.  .745
   12   12 1963    0.0 -.0005 .05963 -.0122 -.0036    2
 8.425 1472.  .416 7.107 1745.  .079 6.738 1840.  .029
 6.580 1884.  .027 45.53 1745.  .079
   14    1 8.15   104. 16.038 -153.5 457.75 -279.7    2
 2217.  5.62      2214.7  5.55  .068
2518.3  4.93  .155
   14    2 16.3   118. 9.4522 -37.72  49.62 -20.04    3
 2335.  5.31    1. 1308.  9.48  .090 1263.  9.80  1.20
                  1531.2  8.10  .130
 991.7  12.5  0.20 4130.  12.8  0.51 1814.  6.84 .0078
   14    3 33.5   133.  3.147 -6.028  5.614 -2.139    4
1206.5  10.3  1.70 566.6  21.8  .046 996.1  19.0  .046
2559.2  25.4       672.9  24.8       690.0  25.6
                                    1111.6  17.7  1.68
 1892.  6.55  .146
   14    4 45.1   148.   .886 -1.026   .693  -.238    4
1396.7  8.89  .803 457.9  27.1  .025 817.1  24.1  .025
 560.5  31.0  .025 1067.  31.5  .025 361.5  34.4  .015
 515.9  32.9  .015 749.9  36.4  .015
                                     1125.  19.9  .803
   14    5 167.  1950.   .752  12.12  -9.94   .847    3
 119.0  105.  .021 117.9  105.  0.19 98.21  126.  .004
 97.14  128.  0.84 96.44  129.  0.20 90.66  137.  .036
 85.36  145.  0.48 80.97  153.  0.36
   14    6 205.  1980.  .3846  7.097 -4.982 -.0602    2
 247.0  50.0  0.11 83.19  149.  0.54 82.98  149.  0.18
 83.82  148.       99.50  125.  .090
   14    7 246.  1980.   .430  2.546  1.146 -2.721    3
 275.5  45.0  0.19 73.15  170.  0.90 69.59  178.  0.19
 79.49  152.  .088 85.32  145.  .045  68.8  227.   .35
  64.0  193.  0.35  61.4  202.  0.56  53.5  219.  0.61
   14    8 303.  2010.   .000   .810   .000   .000    4
 317.7  39.2  0.21  63.6  195.  1.18  72.4  172.  .020
 69.62  177.  .095 61.03  203.  1.18  76.0  202.  0.35
  58.9  210.  0.35  69.8  177.  0.35
  47.6  270.  0.34
   14    9 351.  2050.   .000   .416   .000   .000    3
 347.4  35.7  .081 226.0  54.8  0.10 294.4  41.1  .096
 55.34  222.  0.71  61.7  201.  .046  696.  17.8 .0050
 61.2   244.   .35  54.2  265.   .35  42.0  294.   .35
   14   10 401.  2090.   .000   .160   .000   .000    3
 353.1  35.2  .071 275.5  44.9  .039 257.8  48.1  .173
 50.64  244.  0.39  39.3  315.  .125  54.9  250.  .023
 50.02  269.   .35 57.21  271.   .56 602.8  20.6 .0088
   14   11 476.  2260. .07534  .5159 -.6510  .2665    3
 303.3  40.8  0.26 574.0  21.6  0.26 49.22  293.  0.54
  46.3  309.  0.54 35.45  412.  0.16 52.29  288.  0.54
 43.76  283.  0.54 33.51  370.  0.16  6.78  1835 .0046
   14   12 523.  2310.  .0279  .2275 -.2650  .1039    3
 506.4  23.8  0.11 40.96  303.  0.33 31.02  378.  .089
 27.91  444.  .036 44.12  304.  0.33 32.97  402.  .089
 45.60  296.  0.33                    6.71  1848  .011
   14   13 2438    0.0 .00078  .1135 -.0462  .0051    3
 6.648 1865.  .762 6.740 1840.  .762 6.688 1854.  .762
 5.681 2182.  .155 5.405 2294.  .140 815.0 1854.  .000
  37.7 2200.  .155 37.30 2200.  .155 6.660 1865.  .762
   14   14 2673    0.0 -.0004 .04381 -.0090 -.0027    2
 6.180 2006.  .416 5.217 2377.  .079 4.947 2506.  .029
 4.831 2567.  .027 33.44 2377.  .079
   16    1 10.4   168. -.1156 1017.9 -1929.  957.9    2
1429.1  8.67  0.18 1389.  8.94 .0003 1320.  9.39  .041
1299.2  9.56  0.36
   16    2 23.4   185. 11.894 -16.26  7.180 -.9554    2
  877.  14.2  1.60 1256.  9.86  .028
 1127.  11.0  .076
   16    3 35.0   203. 7.0165 -13.85  7.250 -.0424    2
 700.3  17.7  1.75 1198.  10.4  0.62 486.6  25.5
 683.1  18.2  0.16
   16    4 47.3   221.  1.997 -2.726  1.052 -.0341    4
 1390.  8.93    1.  749.  16.6  1.09 651.7  19.0  1.44
  654.  27.6   0.3 553.1  22.5  .094 1654.  26.5
 391.9  31.6   .21                   1070.  11.6   .13
 813.9  15.2   .11
   16    5 73.0   240.  1.380 -1.686  1.226  -.409    4
 786.5  15.8  1.42  301.  41.2  0.16 438.9  38.4  0.16

                                     661.5  29.1  1.30
 1199.  10.3  .048
   16    6 88.0   258.  .4639 -.3455  .1725 -.0524    4
 937.1  13.2  0.69 249.1  49.8  .074 390.2  45.0  .074
 279.7  56.0  .074 464.7  57.5  .074 191.5  64.8  .029
 251.0  62.5  .029 328.5  68.5  .029
                                     710.6  30.6  0.69
   16    7 281.  2660.  .3048  5.010 -2.242 -1.068    4
 72.66  171.  .036 72.03  171.  0.17 61.55  202. .0045
 60.80  204.  1.40 60.16  206.  0.16 54.79  226.  .033
 51.94  239.  0.63  55.0  226.  0.37
                    48.8  254.  0.45
   16    8 328.  2690.  .2530  1.268 -2.498  1.350    4
 199.9  62.0  .095  54.1  229.  0.86  53.0  234.  0.29
 54.53  227.       63.50  201.  .090  65.0  191.  0.35
  46.0  270.  0.35  58.5  212.   .35  45.9  270.  0.48
  39.6  298.  0.53
   16    9 379.  2730.  .2765  1.010  1.606 -2.023    4
 225.0  55.0  0.16  49.2  252.  1.10  47.4  261.  0.23
  54.2  229.  .096  56.1  225.  .045  44.1  312.   .35
  41.5  299.  0.35  39.9  276.  0.63  34.8  300.  0.69
  57.0  284.  0.35
   16   10 447.  2770.   .000   .527   .000   .000    3
 261.8  46.2  0.19 43.56  280.  1.70  49.4  252.  .040
  47.7  260.  .092 42.55  292.  1.70  52.0  296.  0.35
 42.16  308.  0.35 46.41  313.   .35  35.6  360.   .40
   16   11 505.  2820.   .000   .270   .000   .000    3
 291.5  42.6  .073 191.2  64.9  .086 246.9  50.2  .084
  39.3  315.  1.00 43.56  284.  .055  578.  21.5 .0029
  41.0  316.   .35 38.99  378.   .35  27.1  450.  0.35
   16   12 565.  2880.   .000   .108   .000   .000    3
 299.5  41.4  .063 238.0  52.0  .039 216.0  57.4  .173
 36.54  339.  0.63 28.41  456.  .124  39.1  317.  .022
 37.74  366.   .35  39.9  359.   .57 497.5  24.9 .0054
   16   13 652.  3018.  .0516  .3719 -.4525  .1808    3
 256.6  47.4  0.21 490.0  25.3  0.21  34.0  412.  0.51
  32.0  427.  0.51 25.80  522.  0.17  37.0  394.  0.51
 32.41  387.  0.51  24.6  517.  0.17  5.13  2420  .009
   16   14 707.  3076.  .0173  .1879 -.2315  .0967    3
 417.6  29.7  .092 30.43  406.  0.35 23.04  538.  .091
  19.8  557.  .037  32.5  409.  0.35 24.26  537.  .091
 33.28  398.  .091 24.43  534.  .091  5.09  2440  .020
   16   15 3224    0.0 .00044  .0842 -.0327 .00323    3
 5.039 2462.  .768 5.101 2431.  .768 5.066 2447.  .768
 4.299 2884.  .155 4.088 3033.  .141 738.3 2447.  .000
 28.50 2870.  .155 29.40 2870.  .155 5.050 2462.  .768
   16   16 3494    0.0 -.0003 .03354 -.0069 -.0020    2
 4.727 2623.  .416 3.991 3107.  .079 3.784 3277.  .029
 3.696 3355.  .027 25.60 3107.  .079
   18    1 15.8   249. 145.30 -849.4 1613.2 -843.8    1
  871.  14.2  .199                   1050.  11.8  .315
   18    2 27.6   267.  38.95 -94.34  51.24  10.54    1
  676.  18.3  .770 923.8  17.1 .0089
   18    3 40.9   287.  14.60 -11.46 -21.30  19.09    1
 529.9  23.4  1.60 879.1  14.1  .033
   18    4 59.7   308.  6.372  -9.40  3.637 -.0194    1
 451.2  27.5  1.50 846.5  14.7  .086
   18    5 75.2   330.   .000   0.92   .000   .000    1
 449.1  27.6  1.64 830.9  14.9  0.50
   18    6 91.2   351.   .000   .469   .000   .000    2
 1008.  12.4    1. 763.0  16.2  0.48 462.0  26.8  0.96
 457.5  43.3  0.48 293.4  58.4  .088
   18    7 125.   373.  .7505 -.5685  .2492  -.049    4
 585.7  21.1  1.22 176.6  70.2  .087 250.4  70.6  .087


  947.  13.1  .041
   18    8 143.   395.  .2808 -.1348  .0400 -.0102    2
 704.9  17.6  0.60 159.0  78.0  0.12 230.4  71.4  .098
 180.2  86.4  0.15 260.3  88.8  0.94 120.1  103.  .039
   18    9 423.  3488.  .1600  2.636 -.7447 -.7537    1
 49.18  252.  .052 48.73  254.  .014 41.48  299.  .058
   18   10 479.  3554.  .1940  1.227  .8998 -1.368    3
 165.5  74.9  .085 37.49  331.  1.06 37.61  330.  0.50
                   44.27  280.  .094 45.03  275.  0.35
 32.63  380.   .35
   18   11 539.  3621.  .1828  .5488 1.1629 -1.247    2
 188.8  65.7  0.14 34.50  359.  1.05 34.34  360.  0.28
 38.61  321.  .095 39.74  312.  .045
   18   12 619.  3628.   .000   .350   .000   .000    2
 218.3  56.8  0.17 30.60  405.  1.70 35.60  348.  .030
 34.68  357.  .090 31.43  394.  1.70
   18   13 686.  3755.   .000   .163   .000   .000    2
 250.0  49.6  .067 166.0  74.7  .076 214.0  57.9  .075
                                     490.0  25.3 .0014
   18   14 755.  3821.   .000  .0778   .000   .000    3
 266.0  46.6  .045 208.9  59.3  .026 186.7  66.4  0.14
 27.39  453.  0.64 21.24  583.  .124 29.23  424.  .021
                                     468.0  26.5 .0050
   18   15 855.  3887. .03718  .2851 -.3435  .1377    3
 221.7  56.0  0.22 427.0  29.0  0.22 27.39  453.  0.54
 25.00  496.  0.72 19.90  623.  0.18 28.29  438.  .008
 25.01  496.  0.47 18.80  659.  0.18 4.014  3089  .016
   18   16 918.  3953. .01603  .1207 -.1311 .04818    1
 371.0  33.4  .081 23.62  525.  .356
   18   17 4121    0.0 .00022 .06815 -.0257 .00232    3
 3.949 3140.  0.78 3.994 3104.  0.78 3.969 3124.  0.78
 3.365 3685.  .153 3.200 3875.  .143 560.5 3124.  .000
 22.28 3685.  .153 22.87 3685.  .153 3.960 3140.  0.78
   18   18 4426    0.0 -.0002 .02650 -.0054 -.0016    2
 3.731 3323.  .416 3.150 3936.  .079 2.987 4151.  .029
 2.917 4251.  .027 20.22 3936.  .079
   20    1 6.11   349.  7.421 -24.27  26.34 -9.390    2
4226.7  2.93  1.75 2722.  4.54  .003 2399.  5.16  .090
 2275.  5.46  .070
   20    2 11.9   366.  1.836 -4.401  4.934 -2.258    4
3945.2  3.14  1.04 3727.  6.46  .173 2132.  7.51 .0008
 2110.  9.02  .122 1554.  9.66  .086 2205.  8.76  .023
 1644.  9.25 .0003 1812.  9.98  .040 1433.  10.4  .047
 1330.  11.0  0.01
   20    3 51.2   386.  17.79 -17.53 -15.78  16.43    1
 360.0  34.4  6.22  307.  40.4  0.30  406.  25.9  0.10
   20    4 67.3   409.  8.264  3.026 -23.54  13.35    2
  436.  28.4  1.50 660.5  18.7  0.37  256.  48.4  0.44
  333.  37.2  0.14
   20    5 84.5   433.  4.016  6.861 -18.79  8.940    2
  323.  38.4  1.50 647.0  19.1  0.63  240.  51.6  0.90
 270.3  45.7  0.22
   20    6 109.   458.   .000   .920   .000   .000    2
 334.1  37.1  1.40 637.1  19.4  0.88
 240.7  51.4  .086
   20    7 128.   483.   .000   .616   .000   .000    2
  330.  37.6  1.53 634.7  19.5  0.43
  204.  60.8  0.10
   20    8 148.   508.   .000   .312   .000   .000    2
  785.  16.0    1. 592.2  29.0  0.41 355.0  34.9  0.88
  243.  51.0       183.7  67.4  .081
   20    9 189.   534.  .4700 -.2240  .0292  .0119    4
 466.2  26.6  1.09  123.  101.  .090 162.8  103.  .090
  167.  94.5       129.7  122.  0.22 100.9  149.
                                     398.7  57.6  0.89
  694.  17.9  .034
   20   10 211.   560.  .1856 -.0541 -.0015 .00183    4
 563.1  22.0  0.53 111.0  112.  .145 152.6  103.  .145
  123.  123.  .145 167.0  126.  .145  83.4  148.  .047
  93.0  155.  .047  118.  157.  .047
                                      418.  51.6  0.53
   20   11 592.  4420.  .1409  1.208  .6701 -1.183    4
 35.58  348.  .066 35.21  351.  0.11 31.26  396.  .007
 30.87  411.  2.10 30.45  405.  0.26 26.80  465.  .030
 25.55  484.  0.71  27.0  459.  2.20  25.1  477.
  22.5  520.        22.5  551.  0.48
   20   12 657.  4494.  .1476  .5726  1.234 -1.334    4
 141.0  87.9  .077  28.3  437.  1.23  27.0  458.  0.64
                    32.0  387.  .098  32.5  382.  0.35
  23.0  540.  0.35  29.2  424.   .35  23.1  540.  0.47
  19.8  596.  0.53
   20   13 727.  4569.  .1602  .0457  1.628 -1.417    4
 168.4  73.5  0.13  25.5  486.  1.00  24.5  505.  0.34
 28.93  429.  .095 29.65  417.  .046  22.5  595.  2.10
  21.6  574.  0.60  18.5  670.  0.63  16.3  760.  0.71
  29.8  540.  0.78
   20   14 818.  4644.   .000   .225   .000   .000    3
 186.6  66.5  0.16  23.2  524.  1.70  26.2  467.  .051
  26.5  524.  .091  24.1  514.  1.70  28.5  540.  0.35
  22.0  564.  0.35  25.8  595.   .35  19.5  658.   .40
   20   15 895.  4719.   .000   .150   .000   .000    3
 228.0  54.3  .061  144.  86.1  .068  185.  67.0  .067
  22.6  548.  0.90  24.4  507.  .052  421.  29.5 .0012
  23.2  560.   .35  20.5  667.   .35
   20   16 974.  4793.   .000  .0642   .000   .000    3
  200.  62.0  .040  179.  69.2  .023  154.  80.4  0.12
  21.4  569.  0.65  17.5  708.  .123  22.8  544.  .021
                                      442.  28.0 .0043
   20   17 1087  4867. .02664  .2306 -.2760  .1131    3
 192.9  64.2  0.20 371.1  33.4  0.20  21.4  643.  0.44
  20.4  649.  0.44  15.6  859.  0.18  22.0  628.  0.44
  19.5  635.  0.44  14.6  849.  0.18  3.22  3850  .027
   20   18 1157  4941.  .0116  .1006 -.1126  .0433    3
  333.  37.2  .073 18.68  664.  .363 14.08  879.  .096
 12.64  980.  .039 19.71  665.  .363 14.73  877.  .096
 20.16  653.  .363  14.9  869.  .096  3.20  3870  .050
   20   19 5129    0.0 .00004 .05264 -.0202  .0025    3
 3.173 3908.  .785 3.225 3845.  .785 3.186 3892.  .785
 2.706 4582.  .156 2.573 4819.  .143 263.5 3892.  .000
 18.89 4574.  .156 18.6  4570.  .156 3.180 3908.  .785
   20   20 5470    0.0 -.0002 .02147 -.0044 -.0013    2
 3.020 4106.  .416 2.549 4864.  .079 2.417 5130.  .029
 2.361 5252.  .027 16.31 4864.  .079
   26    1 7.87   713.   .000   .000   .000   .878    1
 2483.  4.98  0.75 2523.  4.90  0.48 2994.  4.14  0.58
   26    2 16.2   744.   .000   .000   .000   .218    1
  2607  4.75  0.23  2404  5.15  0.38  2343  5.30  0.12
   26    3 30.7   775.  126.2 -214.1 -12.04  125.6    1
  862.  14.4  3.50
   26    4 54.8   807.  34.20  29.07 -178.5 128.28    1
  526.  23.5  2.50
   26    5 75.0   835.  16.66  31.34 -110.6  69.82    1
  387.  31.0  2.10
   26    6 99.0   871.   .000   3.57   .000   .000    1
 163.2  76.1  0.78  180.  68.8  0.79  294.  42.2  1.50
   26    7 125.   902.   .000   2.00   0.00   .000    2
 166.4  74.5  0.69 176.7  70.1  1.08 177.2  70.0  0.12
  282.  44.0        233.  53.3  0.16 150.8  82.3  0.80
   26    8 151.   933.   .000   .781   .000   .000    3
 185.2  67.0  0.73 168.2  73.6  1.09 195.5  63.5  .054
 131.2  94.5  0.59 108.1  115.  0.24 98.52  126.  0.12
 93.37  133.  .066
   26    9 235.   965.  1.756  .9576 -.3651 -1.161    2
 171.1  72.4  3.72 83.45  149.  .724 103.6  120.  .229
 105.2  118.  .148
   26   10 262.  1000.  1.548 -1.052  3.266 -2.869    2
 174.6  71.1  2.79 345.7  35.8   .03  76.1  163.  0.66
 96.12  129.  0.32
   26   11 290.  1036.  1.245 -1.605  4.118 -3.106    2
 180.4  68.6  1.31 352.2  35.2  0.11  72.7  170.  .136
 86.77  139.  0.22
   26   12 331.  1073.   .000   .444   .000   .000    2
 186.9  66.4  1.65 364.4  34.0  .099  66.1  187.  0.13
  79.5  156.  .095
   26   13 361.  1110.   .000   .269   .000   .000    2
 203.8  60.8  1.34 368.4  33.8  .205  62.1  200.  .072
 71.37  166.  .049  70.0  245.  0.25  60.0  271.   .50
   26   14 392.  1147.   .000   .122   .000   .000    3
  463.  28.6    1. 264.5  46.7  .677 219.1  57.6  0.69
 197.0  89.1  .677  70.8  175.  .062  95.2  189.  0.27
 58.96  209.  0.27  77.0  220.  0.27
   26   15 457.  1185.  .1687  .0130 -.0745  .0330    4
 284.2  43.6  0.80 52.97  234.  0.50 69.66  222.  0.50
 69.98  271.  0.36 59.44  253.  0.64  41.6  340.  2.40
  15.0  826.  4.70  15.0  820.  2.70 224.8  94.4  0.65
  417.  29.7 .0140
   26   16 490.  1223. .07272 .01011 -.0275  .0099    4
 361.0  34.3  .398  50.5  247.  0.22 63.72  232.  0.22
 54.73  264.  0.22 66.37  271.  0.22  36.7  334.  .064
 40.13  344.  .064 46.75  350.  .064  17.5  730.  2.40
  17.1  806.   1.0  15.4  895.  2.70 258.0  82.3  .398
   26   17 1265  7891.  .1567 -.2168  1.454 -1.046    5
 17.05  726.  0.12 16.77  739.  0.10 15.45  802. .0098
 15.01  825.  2.76 15.26  813.  0.69 12.51  993.  .027
 12.26 1018.  0.78 13.82  897.  0.37  11.0 1130.  0.10
  350.  760.   1.0  230.  810.   1.0  46.2 1007.   1.0
                   1.927 7248.   .22
   26   18 1358  7999. .06798 .15212 .68299 -.6693    4
 103.9  120.  .059 14.37  862.  1.62 14.55  862.  0.82
 14.67  862.  0.37 15.88  796.  0.11  16.2  785.  0.35
  13.4 1110.  0.35  15.4  872.   .35 11.36 1091.  1.20
 1.927 6433.  .055 1.915 7330.   .22
   26   19 1456  8088.  .2191 -.8703  2.297 -1.468    5
 108.4  115.  0.10 13.60  912.  0.99 13.50  918.  0.49
